run,hiker,delta_x,delta_y,steps
67,1,920.080221319244,393.2575237020876,289148
67,2,-248.50387607038414,968.7801339538038,437137
67,3,677.1015971098963,-736.307651732712,2588252
65,1,-250.17555647828908,-968.9305628596361,1737127
65,2,369.9852739864648,929.7609896198229,2414354
65,3,-994.9556209493203,104.1390731857482,607973
70,1,683.6485204071266,730.1134283484865,749341
70,2,630.4978269365861,776.5960870346639,1996660
70,3,-234.9024920106184,972.3637708637848,518155
74,1,-986.8593591681677,164.88563556552697,1060700
74,2,35.02044232088741,-999.9428173780601,420290
74,3,-532.4925928399745,-846.7716830411778,641552
68,1,163.2756246990443,-986.8274450383536,2461039
68,2,-851.897481995366,525.156634963019,654978
68,3,680.0768283526079,733.7503956744954,1384263
77,1,-746.0918882847214,666.2053829020848,1690322
77,2,-890.3066140480165,455.9201231345461,551435
77,3,394.65635765292785,919.6894494844853,237003
72,1,999.8467785663161,-24.619030452084818,728980
72,2,920.2096964720008,-392.97867361546093,1480803
72,3,-961.6765348162228,-275.7212662213408,898969
75,1,222.58602117993897,-975.1432657483867,2419745
75,2,731.5167422845338,682.04571700066,509503
75,3,456.3231436738245,-890.7321849611974,94847
78,1,992.0656793832295,129.4199870117613,853749
78,2,165.09412252455445,986.6316013614448,1166978
78,3,-588.5052471692505,-808.8775644636148,692169
73,1,800.8772390489266,598.8868396446703,1345139
73,2,987.5894380680224,157.18631673397343,340682
73,3,299.0028652121673,954.2624288349242,1804860
82,1,-855.6595289924119,517.6321223872346,487593
82,2,-986.4127542617028,165.57692358618047,773561
82,3,983.6895261203797,180.3899782569955,430331
71,1,-81.58260482113204,-996.9968986079463,2915777
71,2,179.86894665343686,984.4898248732347,1246356
71,3,791.1378989967808,611.7342832907572,687327
83,1,814.3202684840397,580.7709388856451,509557
83,2,808.6817035830444,588.5988132251279,871860
83,3,-549.8398416754309,-835.9531138853545,582862
79,1,962.0179417318612,-273.332902628735,1447020
79,2,-234.9969525371772,972.5891196965042,454908
79,3,-33.857154134344924,-999.6163287066067,1524682
81,1,-996.6251231972568,-86.60958419816694,1653288
81,2,-419.75522867147345,-908.0622769866095,691581
81,3,989.3372772730864,-148.9924180185941,1200696
85,1,-974.6330260486567,223.85461234017404,1211324
85,2,986.2760695260644,-166.47583017366742,681860
85,3,110.94033098010692,994.3329868063413,755836
90,1,461.0077082976562,-887.5232705741986,1122679
90,2,-177.74839477344938,984.4153457518028,339038
90,3,182.97736183421432,-983.2988702933039,694912
87,1,994.7135624202122,106.19779041168516,768619
87,2,228.19627976117633,-973.6758358506739,430216
87,3,78.4091010290293,-997.1936493308386,845273
80,1,-134.07933037193555,990.9727142644406,2535749
80,2,124.02296632187061,-992.3853348244292,653459
80,3,-520.1633669059979,854.2977960844253,1205959
89,1,871.3216077847239,491.44718926715814,945932
89,2,629.4341343267681,777.3277890159898,747666
89,3,-496.8694640404251,867.9975152532393,549902
88,1,999.9095882121608,16.03953082018154,1237777
88,2,767.9565029115845,641.1707441915448,228130
88,3,76.698318852314,-997.3461703957853,709099
86,1,-201.13578770486208,-980.4973946919192,2534702
86,2,-651.0795913200595,759.0243694972481,497101
86,3,-167.4320607916269,986.1169458222383,619773
96,1,934.2582189419826,-358.8880473224906,630770
96,2,466.97373470387834,-884.8233533238252,224884
96,3,-906.3722229988484,423.28339573308085,578034
93,1,-997.2810563385233,81.5542748828513,304941
93,2,805.8803537797096,592.8737463770673,571789
93,3,759.99630872481,-650.8374005569846,1667236
97,1,241.67075538312065,970.8462343885819,1230222
97,2,-999.2532623897479,39.16346988622601,314266
97,3,959.654419296837,-282.6473722690594,329067
84,1,-421.08978922909336,-907.4417270670716,671530
84,2,953.8358991535579,-302.74685211987025,2331865
84,3,-434.8689756496807,-900.5421045460475,2496255
92,1,-951.7839859345966,307.0894200017973,666221
92,2,-756.9522895546877,-653.7567589746851,910968
92,3,638.474318818265,-769.9602335448501,1418167
99,1,-111.4143715386569,994.3100918585039,581831
99,2,-365.71633471722663,-930.9539205582787,998474
99,3,807.2172316546012,591.2686691041795,399070
100,1,621.2236167959118,783.9078243256972,548910
